@relation opDCT_4

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 46 numeric
@attribute 47 numeric
@attribute 48 {Benign,Malignant}

@data
255,255,255,255,255,255,201,255,255,255,255,255,255,255,255,9,255,255,255,255,255,255,85,255,255,255,255,255,255,255,255,164,255,255,255,255,255,255,154,255,255,255,255,255,255,255,255,255,Benign
255,102,255,255,255,255,255,255,255,95,255,255,255,55,255,8,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,248,255,255,255,255,255,255,255,255,255,255,255,210,255,255,255,91,Benign
255,255,255,255,255,255,255,255,255,255,255,255,255,255,26,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,113,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,Benign
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,127,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,Benign
255,255,255,93,255,255,193,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,208,255,255,255,255,255,255,255,255,255,255,255,255,255,255,Benign
255,255,255,255,255,255,255,255,255,255,255,255,255,83,255,255,255,255,255,255,255,255,255,255,255,255,255,255,66,209,255,255,255,223,255,255,227,255,16,255,255,255,255,255,255,255,255,255,Benign
255,255,255,255,255,111,255,255,255,41,255,183,255,255,255,100,255,255,255,255,255,255,255,255,245,200,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,223,255,255,255,255,255,255,Benign
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,133,142,255,255,255,255,255,255,255,255,255,117,255,198,255,255,255,255,255,255,255,255,255,255,255,255,255,255,35,255,Benign
255,255,255,118,255,255,255,255,255,255,255,255,255,210,255,255,255,28,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,Benign
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,110,255,241,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,143,255,255,255,255,255,255,255,255,255,255,255,255,255,255,Benign
255,255,255,255,255,255,255,255,255,255,186,255,255,255,255,255,255,255,255,255,255,254,255,255,189,255,57,255,255,235,255,255,255,255,255,255,255,255,255,255,255,255,255,255,136,255,255,255,Benign
255,255,255,255,255,255,255,255,255,255,132,152,255,217,193,255,255,255,255,255,255,255,36,255,255,148,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,Benign
255,255,255,255,255,255,255,255,255,249,255,255,255,177,255,255,255,255,255,255,255,171,255,255,255,255,255,255,255,42,255,237,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,Benign
255,255,255,255,255,255,255,255,255,178,255,215,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,250,255,255,255,255,255,255,255,255,213,255,255,255,255,255,255,255,255,255,255,255,Benign
255,130,255,255,255,255,255,255,255,255,255,255,194,254,183,235,255,255,255,255,255,255,255,255,255,255,149,255,255,255,249,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,Benign
255,255,255,49,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,71,255,255,255,255,255,255,255,255,255,Benign
